Start Time, Latency, Request Type, Response Code
1675712994560, 342, POST, 201
1675712994903, 4, POST, 201
1675712994907, 4, POST, 201
1675712994911, 3, POST, 201
1675712994915, 3, POST, 201
1675712994918, 4, POST, 201
1675712994922, 3, POST, 201
1675712994925, 4, POST, 201
1675712994929, 4, POST, 201
1675712994933, 3, POST, 201
1675712994936, 3, POST, 201
1675712994940, 3, POST, 201
1675712994943, 3, POST, 201
1675712994946, 4, POST, 201
1675712994950, 3, POST, 201
1675712994953, 4, POST, 201
1675712994957, 2, POST, 201
1675712994959, 4, POST, 201
1675712994963, 3, POST, 201
1675712994966, 3, POST, 201
